SummaryNodes,SummaryEdges,NodeThreshold,EdgeThreshold,Objective,TestObjective
2,7,7295,42395,472.6990,238.3172
3,12,7295,42395,438.7338,238.3172
4,16,7295,42395,438.7338,238.3112
5,23,7295,42395,438.7231,238.3112
6,29,7295,42395,438.7231,238.1859
7,38,7295,42395,438.5039,238.1859
8,47,7295,42395,438.5039,197.7326
9,54,7295,42395,379.0213,155.2338
10,67,7295,42395,291.5407,151.7116
11,80,7295,42395,282.1111,125.1535
12,95,7295,42395,228.1825,96.7160
13,100,7295,42395,195.5899,89.7377
14,108,7295,42395,172.6954,89.5753
15,124,7295,42395,170.0760,88.0939
16,141,7295,42395,167.7753,77.1095
17,154,7295,42395,160.0495,77.1095
18,171,7295,42395,160.0495,76.7096
19,180,7295,42395,159.6498,76.7096
20,196,7295,42395,159.6498,76.6039
21,208,7295,42395,159.2994,76.6035
22,229,7295,42395,159.2992,76.6035
23,233,7295,42395,154.0901,76.5518
24,251,7295,42395,153.7863,75.4031
25,266,7295,42395,147.9826,75.0788
26,277,7295,42395,147.6599,73.5124
27,290,7295,42395,139.7199,73.5117
28,299,7295,42395,139.3893,72.8578
29,325,7295,42395,138.8676,69.7948
30,350,7295,42395,122.8383,69.7948
31,373,7295,42395,122.5664,67.0887
32,378,7295,42395,118.6474,66.1454
33,395,7295,42395,117.6597,66.0710
34,400,7295,42395,117.2286,65.9102
35,418,7295,42395,116.2678,65.5335
36,433,7295,42395,113.7783,64.1019
37,458,7295,42395,111.7081,64.0384
38,470,7295,42395,111.2768,63.8582
39,492,7295,42395,111.0221,59.7284
40,504,7295,42395,105.3098,59.7255
41,540,7295,42395,105.3066,51.9026
42,554,7295,42395,96.2702,48.7587
43,582,7295,42395,92.2808,48.5189
44,601,7295,42395,91.7848,48.0241
45,622,7295,42395,89.3258,48.0112
46,639,7295,42395,89.3013,48.0112
47,665,7295,42395,88.6047,45.6530
48,679,7295,42395,85.6290,45.5130
49,681,7295,42395,85.4943,45.3476
50,694,7295,42395,81.1267,44.7768
51,719,7295,42395,80.0822,44.7728
52,740,7295,42395,80.0183,44.1407
53,761,7295,42395,78.9981,43.7004
54,793,7295,42395,77.3792,43.3607
55,810,7295,42395,77.0683,43.1492
56,822,7295,42395,76.7983,43.1492
57,842,7295,42395,76.7957,43.1379
58,843,7295,42395,76.0774,41.7414
59,853,7295,42395,74.6809,41.6687
60,898,7295,42395,74.6037,35.4394
61,937,7295,42395,68.2507,35.4394
62,950,7295,42395,67.5066,35.4383
63,960,7295,42395,66.4391,35.3158
64,980,7295,42395,66.1342,34.1961
65,1023,7295,42395,65.3476,33.3304
66,1049,7295,42395,64.5729,31.2083
67,1078,7295,42395,62.4496,30.7781
68,1095,7295,42395,62.0048,30.0452
69,1099,7295,42395,61.6303,29.5741
70,1112,7295,42395,61.2079,29.5594
71,1140,7295,42395,60.5606,29.1624
72,1163,7295,42395,58.8428,29.1624
73,1173,7295,42395,57.7326,29.0534
74,1183,7295,42395,56.8552,29.0530
75,1199,7295,42395,56.5072,29.0530
76,1255,7295,42395,51.2674,28.8707
77,1277,7295,42395,49.1542,28.8333
78,1325,7295,42395,47.5789,25.1009
79,1342,7295,42395,43.8396,23.8896
80,1356,7295,42395,40.8113,23.1822
81,1359,7295,42395,40.0824,22.9541
82,1369,7295,42395,39.7144,22.9541
83,1373,7295,42395,37.2714,22.9541
84,1388,7295,42395,35.8615,22.9528
85,1414,7295,42395,29.2107,22.9528
86,1434,7295,42395,29.1098,22.4118
87,1459,7295,42395,28.5623,22.4118
88,1476,7295,42395,28.2173,22.2706
89,1498,7295,42395,27.8892,22.1735
90,1501,7295,42395,27.8515,21.4309
91,1536,7295,42395,27.7384,21.3785
92,1560,7295,42395,27.5002,21.2430
93,1570,7295,42395,26.8468,21.2171
94,1573,7295,42395,26.4719,21.2017
95,1575,7295,42395,26.3009,21.1971
96,1579,7295,42395,26.2491,21.1970
97,1604,7295,42395,26.1071,21.1848
98,1625,7295,42395,25.5437,21.0413
99,1636,7295,42395,25.4002,21.0382
100,1661,7295,42395,25.3163,21.0323
101,1666,7295,42395,25.1837,21.0323
102,1683,7295,42395,25.0734,20.9528
103,1702,7295,42395,24.9917,20.8568
104,1707,7295,42395,24.8935,20.8568
105,1732,7295,42395,23.7686,20.7696
106,1751,7295,42395,23.6494,20.6014
107,1776,7295,42395,23.4548,20.6014
108,1789,7295,42395,23.3510,20.6014
109,1801,7295,42395,22.3077,20.5914
110,1826,7295,42395,20.6072,20.4342
111,1864,7295,42395,20.4493,20.3661
112,1886,7295,42395,20.3733,19.9011
113,1902,7295,42395,19.9243,19.7533
114,1932,7295,42395,19.7659,19.7533
115,1940,7295,42395,18.4702,19.7533
116,1960,7295,42395,18.4126,19.0231
117,1968,7295,42395,17.7299,18.8374
118,1976,7295,42395,17.5614,15.0831
119,2008,7295,42395,13.8168,14.8288
120,2029,7295,42395,13.5472,14.8288
121,2032,7295,42395,13.4421,14.8109
122,2040,7295,42395,12.5223,14.8093
123,2059,7295,42395,12.5107,14.8093
124,2072,7295,42395,12.4353,14.8033
