SummaryNodes,SummaryEdges,NodeThreshold,EdgeThreshold,Objective,TestObjective
2,7,7295,42395,472.6990,238.3172
3,11,7295,42395,438.7338,236.7407
4,12,7295,42395,434.7906,236.6216
5,13,7295,42395,433.8900,236.6216
6,18,7295,42395,433.8233,235.9087
7,24,7295,42395,433.4299,219.1813
8,29,7295,42395,406.3560,217.8259
9,35,7295,42395,403.6694,214.1414
10,45,7295,42395,399.4229,210.6401
11,52,7295,42395,393.6488,204.2908
12,66,7295,42395,384.6243,204.0070
13,73,7295,42395,384.1492,203.2823
14,91,7295,42395,383.1188,202.3209
15,98,7295,42395,381.5060,200.8359
16,120,7295,42395,379.4750,200.5365
17,127,7295,42395,378.9718,199.9832
18,153,7295,42395,378.2219,199.8993
19,160,7295,42395,377.9260,199.7434
20,188,7295,42395,377.7166,199.7185
21,195,7295,42395,377.6744,199.6706
22,211,7295,42395,377.6103,199.6606
23,216,7295,42395,377.5933,199.6039
24,239,7295,42395,377.5174,199.4639
25,246,7295,42395,377.2236,199.1151
26,255,7295,42395,376.6136,198.4363
27,281,7295,42395,375.2042,198.3710
28,285,7295,42395,375.0699,196.8808
29,294,7295,42395,372.5908,196.8746
30,301,7295,42395,372.5800,194.1622
31,335,7295,42395,372.5435,184.5309
32,344,7295,42395,352.3051,143.1497
33,380,7295,42395,285.0586,142.5780
34,404,7295,42395,283.6506,135.2043
35,434,7295,42395,266.3970,134.9732
36,464,7295,42395,265.8087,133.3719
37,482,7295,42395,261.6134,130.9148
38,512,7295,42395,257.5331,130.7993
39,535,7295,42395,257.2173,130.4558
40,543,7295,42395,256.5203,119.8994
41,578,7295,42395,241.0997,119.7100
42,591,7295,42395,240.6705,118.9679
43,597,7295,42395,239.4252,118.8785
44,645,7295,42395,239.2998,118.3515
45,670,7295,42395,238.4701,118.1916
46,681,7295,42395,238.3053,115.2792
47,693,7295,42395,234.4052,114.1504
48,710,7295,42395,232.3243,111.1554
49,753,7295,42395,226.9750,107.2011
50,792,7295,42395,219.0789,107.2011
51,810,7295,42395,217.8721,106.4484
52,814,7295,42395,215.8270,106.2353
53,849,7295,42395,215.3489,106.2353
54,906,7295,42395,214.1221,106.1030
55,935,7295,42395,213.7066,105.7859
56,945,7295,42395,213.5101,104.8287
57,979,7295,42395,211.8488,104.5780
58,997,7295,42395,211.3080,104.1150
59,1023,7295,42395,210.4442,104.0743
60,1055,7295,42395,210.3027,104.0319
61,1086,7295,42395,210.1798,103.8594
62,1125,7295,42395,209.6607,103.2341
63,1153,7295,42395,207.7786,96.8864
64,1162,7295,42395,194.8003,96.3024
65,1204,7295,42395,193.9315,95.6716
66,1220,7295,42395,192.4258,90.9771
67,1233,7295,42395,191.1045,90.5824
68,1252,7295,42395,190.3863,90.5824
69,1302,7295,42395,189.7119,90.5803
70,1315,7295,42395,189.5331,90.5659
71,1320,7295,42395,188.2944,89.8625
72,1364,7295,42395,187.1592,89.7293
73,1378,7295,42395,186.5979,84.7988
74,1416,7295,42395,176.8541,84.7875
75,1423,7295,42395,175.7261,84.3107
76,1475,7295,42395,174.8173,84.1218
77,1504,7295,42395,174.3797,84.0403
78,1517,7295,42395,174.2056,83.1638
79,1556,7295,42395,172.8739,82.6699
80,1581,7295,42395,171.4610,79.9071
81,1595,7295,42395,169.5999,79.4881
82,1603,7295,42395,168.9915,78.7774
83,1658,7295,42395,167.7089,78.4944
84,1668,7295,42395,167.0327,77.0521
85,1678,7295,42395,162.3089,66.9559
86,1686,7295,42395,156.7235,65.7478
87,1706,7295,42395,151.9798,65.5583
