SummaryNodes,SummaryEdges,NodeThreshold,EdgeThreshold,Objective,TestObjective
2,10,7295,42395,472.6990,256.4843
3,17,7295,42395,472.6987,256.4831
4,26,7295,42395,472.6951,256.4769
5,37,7295,42395,472.6766,256.4769
6,50,7295,42395,472.6766,256.4769
7,65,7295,42395,472.6766,256.4769
8,78,7295,42395,472.6766,256.3923
9,89,7295,42395,472.5416,169.2980
10,102,7295,42395,302.7240,156.4913
11,109,7295,42395,274.0796,124.6776
12,126,7295,42395,251.9789,113.4427
13,137,7295,42395,225.8755,113.4423
14,142,7295,42395,225.8746,113.4414
15,151,7295,42395,225.8730,113.4377
16,161,7295,42395,225.8662,113.4245
17,171,7295,42395,225.8399,113.4043
18,177,7295,42395,225.7997,113.3528
19,183,7295,42395,225.6968,113.2906
20,190,7295,42395,225.5728,113.1986
21,197,7295,42395,225.3884,106.2364
22,201,7295,42395,218.4257,106.2360
23,215,7295,42395,201.6160,106.2292
24,224,7295,42395,201.5906,105.6673
25,228,7295,42395,192.7545,105.5636
26,230,7295,42395,192.5620,105.4857
27,254,7295,42395,192.4170,105.4203
28,274,7295,42395,188.7493,90.0070
29,301,7295,42395,180.2258,89.9682
30,310,7295,42395,179.9507,89.9682
31,331,7295,42395,179.9507,89.9291
32,352,7295,42395,179.7715,88.6529
33,385,7295,42395,170.9148,88.6013
34,392,7295,42395,170.6636,88.6013
35,401,7295,42395,170.6635,88.6013
36,439,7295,42395,170.6635,88.5717
37,464,7295,42395,170.6131,88.5602
38,488,7295,42395,170.5574,86.6864
39,517,7295,42395,166.4990,86.6846
40,558,7295,42395,166.4922,86.6405
41,574,7295,42395,166.4098,83.6084
42,585,7295,42395,162.2878,83.6084
43,614,7295,42395,162.2877,83.6049
44,663,7295,42395,162.2777,83.5469
45,701,7295,42395,162.0626,83.5343
46,746,7295,42395,161.5867,83.4597
47,761,7295,42395,159.9295,83.4597
48,812,7295,42395,159.9294,83.4388
49,828,7295,42395,159.8184,83.4388
50,877,7295,42395,159.8183,83.4080
51,927,7295,42395,159.4000,83.3755
52,939,7295,42395,158.4577,83.3741
53,963,7295,42395,158.4532,82.3396
54,1017,7295,42395,156.6120,80.0177
55,1041,7295,42395,155.3743,80.0170
56,1052,7295,42395,154.9796,80.0170
57,1076,7295,42395,154.9708,80.0163
58,1114,7295,42395,154.6485,80.0141
59,1131,7295,42395,153.9936,80.0141
60,1158,7295,42395,153.9916,80.0135
61,1196,7295,42395,153.7688,80.0119
62,1249,7295,42395,153.5118,80.0097
63,1272,7295,42395,153.1566,80.0090
64,1290,7295,42395,152.6924,77.7897
65,1307,7295,42395,142.2491,77.7885
66,1332,7295,42395,141.3565,77.4865
67,1354,7295,42395,139.9579,77.3214
68,1375,7295,42395,139.1949,77.0913
69,1409,7295,42395,138.3526,76.7557
70,1420,7295,42395,136.7636,76.3530
71,1463,7295,42395,133.0592,76.2704
72,1467,7295,42395,132.8961,76.0761
73,1491,7295,42395,132.0073,75.8161
74,1493,7295,42395,131.2514,75.6736
75,1525,7295,42395,130.6007,75.2339
76,1557,7295,42395,128.5961,74.0465
77,1583,7295,42395,123.2263,74.0142
78,1626,7295,42395,123.1263,73.4076
79,1667,7295,42395,121.5663,70.5240
80,1687,7295,42395,119.6663,70.4115
81,1719,7295,42395,119.5112,68.8276
82,1766,7295,42395,118.4650,68.6532
83,1790,7295,42395,117.6764,68.4636
