SummaryNodes,SummaryEdges,NodeThreshold,EdgeThreshold,Objective,TestObjective
2,7,7295,42395,541.5145,195.5564
3,12,7295,42395,505.6706,195.5564
4,16,7295,42395,505.6706,195.5533
5,23,7295,42395,505.6645,195.5533
6,29,7295,42395,505.6645,195.4946
7,38,7295,42395,505.5433,195.4946
8,46,7295,42395,505.5433,195.3960
9,57,7295,42395,505.3396,195.3960
10,67,7295,42395,505.3396,192.1212
11,80,7295,42395,504.9231,192.1212
12,92,7295,42395,504.9231,191.8683
13,105,7295,42395,500.0944,189.5947
14,119,7295,42395,494.2363,186.8222
15,133,7295,42395,483.7291,181.7047
16,153,7295,42395,474.3458,181.4854
17,168,7295,42395,473.8438,180.5051
18,185,7295,42395,469.3355,179.7120
19,205,7295,42395,467.3533,179.6287
20,225,7295,42395,466.7090,179.5156
21,243,7295,42395,465.9509,179.4911
22,264,7295,42395,464.3178,179.3025
23,286,7295,42395,463.0785,179.3025
24,310,7295,42395,463.0785,178.6401
25,328,7295,42395,462.3850,178.5520
26,353,7295,42395,459.0641,177.8620
27,376,7295,42395,458.0803,177.5629
28,397,7295,42395,455.2113,177.2911
29,420,7295,42395,454.2867,177.1595
30,442,7295,42395,453.3972,177.1595
31,476,7295,42395,453.3970,177.1595
32,505,7295,42395,447.4345,176.7332
33,533,7295,42395,446.8489,176.7332
34,553,7295,42395,445.9539,176.6687
35,582,7295,42395,444.9787,176.6687
36,609,7295,42395,444.6420,176.6687
37,635,7295,42395,444.2152,176.6026
38,654,7295,42395,443.9697,176.5778
39,669,7295,42395,443.8220,176.0306
40,700,7295,42395,443.3691,175.7475
41,729,7295,42395,442.6747,172.9014
42,760,7295,42395,441.8495,172.7802
43,789,7295,42395,441.6374,171.7321
44,815,7295,42395,439.5832,171.3639
45,845,7295,42395,439.2083,171.3639
46,863,7295,42395,438.8728,171.2928
47,901,7295,42395,438.3973,171.2928
48,937,7295,42395,437.9557,171.2928
49,976,7295,42395,437.5566,171.1168
50,980,7295,42395,437.1531,171.1157
51,1014,7295,42395,436.7721,171.1117
52,1028,7295,42395,435.6682,171.1092
53,1062,7295,42395,433.9646,171.0567
54,1101,7295,42395,433.7853,171.0567
55,1148,7295,42395,433.4368,170.9745
56,1172,7295,42395,433.2447,170.8486
57,1213,7295,42395,431.1635,170.8486
58,1232,7295,42395,430.8868,170.8188
59,1264,7295,42395,430.8336,170.3890
60,1306,7295,42395,430.3210,170.3890
61,1324,7295,42395,430.1779,170.3820
62,1349,7295,42395,430.0828,170.3806
63,1399,7295,42395,430.0521,170.3760
64,1417,7295,42395,429.7194,170.3007
65,1474,7295,42395,429.6304,170.2216
66,1504,7295,42395,429.4750,170.1554
67,1516,7295,42395,428.2183,170.1551
68,1548,7295,42395,428.1695,170.1543
69,1614,7295,42395,427.9483,170.1182
70,1662,7295,42395,427.5043,170.1182
71,1685,7295,42395,427.2404,170.1131
72,1734,7295,42395,427.1681,170.1131
73,1743,7295,42395,426.8233,170.1112
74,1758,7295,42395,426.6669,170.1066
75,1805,7295,42395,426.4253,170.0541
76,1868,7295,42395,426.3379,170.0424
77,1883,7295,42395,426.1479,170.0418
78,1931,7295,42395,426.1353,169.9096
79,1977,7295,42395,425.9685,169.7600
80,2025,7295,42395,425.7516,169.7600
81,2104,7295,42395,425.6119,169.4686
82,2162,7295,42395,425.4863,169.4647
83,2211,7295,42395,425.3830,168.1092
84,2236,7295,42395,424.9913,167.9813
85,2272,7295,42395,424.9111,167.9797
86,2300,7295,42395,424.9063,167.9797
87,2346,7295,42395,424.9026,167.9797
88,2388,7295,42395,424.8335,167.9797
89,2441,7295,42395,424.8289,167.9797
90,2501,7295,42395,424.5860,167.9022
91,2562,7295,42395,424.2714,167.8737
92,2626,7295,42395,423.9995,167.7820
93,2677,7295,42395,423.8428,167.7820
94,2728,7295,42395,423.7031,167.7820
95,2786,7295,42395,423.6369,167.7805
96,2825,7295,42395,423.5606,167.7803
97,2896,7295,42395,423.5543,167.7576
98,2950,7295,42395,423.4983,167.7548
99,2982,7295,42395,422.9761,167.7503
100,3076,7295,42395,422.9680,167.7395
101,3159,7295,42395,422.0415,167.7185
102,3221,7295,42395,421.9818,167.6678
103,3269,7295,42395,421.2339,167.4980
104,3341,7295,42395,420.9168,167.3688
105,3403,7295,42395,420.5282,166.8706
106,3462,7295,42395,419.9071,166.3801
107,3528,7295,42395,419.1760,166.3574
108,3584,7295,42395,418.7898,166.3574
109,3637,7295,42395,418.7671,166.3563
110,3711,7295,42395,418.0606,166.3548
111,3768,7295,42395,417.6230,166.3487
112,3857,7295,42395,417.6023,166.3480
113,3940,7295,42395,417.3430,166.3477
114,3965,7295,42395,417.2324,166.3466
115,4005,7295,42395,417.2225,166.2614
116,4060,7295,42395,416.9682,166.2546
117,4124,7295,42395,416.9322,166.2472
118,4180,7295,42395,416.7684,166.2472
119,4261,7295,42395,416.6917,165.9627
120,4335,7295,42395,416.0482,165.9626
121,4379,7295,42395,415.9760,165.9619
122,4468,7295,42395,415.9302,165.7415
123,4506,7295,42395,415.3785,165.7240
124,4563,7295,42395,415.1681,165.6426
125,4614,7295,42395,415.0267,165.6422
126,4681,7295,42395,414.9820,165.6152
127,4753,7295,42395,414.6943,165.6058
128,4774,7295,42395,414.6699,165.6019
129,4857,7295,42395,414.6611,165.0383
130,4912,7295,42395,414.4517,164.6907
131,4954,7295,42395,414.2733,164.6877
132,4996,7295,42395,414.2599,164.5858
133,5061,7295,42395,413.9427,164.5853
134,5084,7295,42395,413.7650,164.5844
135,5096,7295,42395,413.6309,164.5824
136,5110,7295,42395,413.2077,164.5807
137,5144,7295,42395,413.1284,164.5747
138,5152,7295,42395,412.9773,164.5746
139,5234,7295,42395,412.9539,164.5484
140,5310,7295,42395,412.9416,164.5484
141,5355,7295,42395,412.9231,164.5484
142,5380,7295,42395,412.9176,164.5484
143,5509,7295,42395,412.8782,164.5081
144,5544,7295,42395,412.8218,164.5081
145,5614,7295,42395,412.8162,164.5047
146,5622,7295,42395,412.7029,164.5046
147,5688,7295,42395,412.6745,164.4992
148,5722,7295,42395,412.6040,164.4637
149,5747,7295,42395,412.5676,164.4093
150,5800,7295,42395,412.5272,164.3860
151,5965,7295,42395,412.2273,164.3859
152,6011,7295,42395,411.5416,164.1700
153,6081,7295,42395,411.3491,164.1618
154,6104,7295,42395,410.7294,164.1383
155,6127,7295,42395,410.5100,163.3660
156,6151,7295,42395,410.3601,163.0348
157,6231,7295,42395,410.0259,162.9980
158,6258,7295,42395,409.7916,162.9958
159,6333,7295,42395,409.7535,162.9757
160,6383,7295,42395,409.4913,162.9641
161,6411,7295,42395,409.4546,162.9641
162,6439,7295,42395,409.4501,162.9641
163,6517,7295,42395,409.4480,162.9480
164,6523,7295,42395,409.4112,162.9447
165,6542,7295,42395,409.1970,162.9387
166,6575,7295,42395,408.9569,162.9374
167,6626,7295,42395,408.8867,162.9374
168,6644,7295,42395,408.4812,162.9231
169,6725,7295,42395,407.9670,162.8983
170,6745,7295,42395,407.8476,161.8475
171,6794,7295,42395,407.2630,161.8434
172,6820,7295,42395,407.1466,161.8416
173,6844,7295,42395,407.0003,158.6093
174,6874,7295,42395,405.3424,158.6093
