SummaryNodes,SummaryEdges,NodeThreshold,EdgeThreshold,Objective,TestObjective
2,7,7295,42395,541.5145,195.5564
3,11,7295,42395,505.6706,193.4845
4,16,7295,42395,494.4780,192.0959
5,21,7295,42395,490.6519,192.0959
6,27,7295,42395,486.7084,183.2581
7,32,7295,42395,473.8300,182.8977
8,38,7295,42395,472.1794,179.3836
9,45,7295,42395,464.8681,179.3115
10,54,7295,42395,464.7168,179.1652
11,65,7295,42395,464.4269,178.5998
12,75,7295,42395,461.2300,177.7155
13,87,7295,42395,461.2022,177.5729
14,96,7295,42395,461.0426,177.5358
15,108,7295,42395,460.9375,177.3441
16,125,7295,42395,460.5384,176.9103
17,139,7295,42395,459.8884,176.7663
18,146,7295,42395,459.7092,176.5902
19,161,7295,42395,459.1074,176.5737
20,165,7295,42395,459.0912,176.5728
21,184,7295,42395,459.0891,176.5684
22,195,7295,42395,459.0765,176.5657
23,210,7295,42395,459.0693,176.5431
24,229,7295,42395,459.0179,174.6950
25,243,7295,42395,458.9939,174.6821
26,269,7295,42395,458.9601,174.6291
27,293,7295,42395,458.6682,174.5392
28,312,7295,42395,458.2596,174.4682
29,333,7295,42395,458.1121,172.4625
30,358,7295,42395,454.6812,172.4517
31,375,7295,42395,454.6516,172.3987
32,398,7295,42395,454.2548,171.3785
33,431,7295,42395,452.9213,170.6150
34,456,7295,42395,451.3536,169.9132
35,480,7295,42395,449.6931,169.6337
36,515,7295,42395,449.1789,168.6445
37,546,7295,42395,448.0073,168.6265
38,567,7295,42395,447.9857,168.4405
39,596,7295,42395,447.6467,168.3901
40,633,7295,42395,447.5578,168.1866
41,670,7295,42395,446.8745,167.9628
42,709,7295,42395,446.3505,167.8090
43,742,7295,42395,446.0922,167.7790
44,768,7295,42395,446.0590,167.2691
45,795,7295,42395,445.6557,167.1724
46,832,7295,42395,444.6635,167.1041
47,869,7295,42395,444.5174,167.0968
48,906,7295,42395,444.5022,167.0927
49,947,7295,42395,444.4934,166.6748
50,987,7295,42395,441.4178,166.2286
51,1013,7295,42395,440.4677,165.7864
52,1067,7295,42395,439.6806,165.6378
53,1106,7295,42395,439.3810,165.4383
54,1144,7295,42395,438.8337,165.3956
55,1180,7295,42395,438.7849,165.3605
56,1231,7295,42395,438.7141,165.3064
57,1273,7295,42395,438.5411,165.2990
58,1322,7295,42395,438.4605,165.0821
59,1350,7295,42395,438.3376,165.0801
60,1402,7295,42395,438.3210,164.9530
61,1454,7295,42395,438.0611,164.9530
62,1488,7295,42395,437.9915,164.9530
63,1511,7295,42395,437.9422,164.9493
64,1541,7295,42395,437.9260,164.9485
65,1560,7295,42395,437.5948,164.9485
66,1606,7295,42395,436.4384,164.9422
67,1639,7295,42395,436.3949,164.9422
68,1673,7295,42395,434.1947,164.9375
69,1727,7295,42395,433.9358,164.9124
70,1748,7295,42395,433.8424,164.9037
71,1766,7295,42395,433.7909,164.8983
72,1766,7295,42395,432.6066,164.8977
73,1774,7295,42395,432.6041,164.8959
74,1810,7295,42395,432.5979,164.2811
75,1843,7295,42395,431.6797,164.2811
76,1868,7295,42395,431.6026,164.2494
77,1891,7295,42395,431.4715,164.2273
78,1917,7295,42395,431.3349,164.2273
79,1965,7295,42395,431.3048,164.2052
80,2007,7295,42395,431.2766,164.2052
81,2058,7295,42395,431.2555,163.5739
82,2120,7295,42395,430.5020,163.5739
83,2172,7295,42395,430.4304,163.5739
84,2226,7295,42395,430.3866,163.5425
85,2280,7295,42395,430.3416,163.5425
86,2348,7295,42395,429.7185,163.5425
87,2369,7295,42395,429.6505,163.5422
88,2424,7295,42395,429.4810,163.4444
89,2469,7295,42395,429.1055,163.4444
90,2482,7295,42395,427.7408,163.4442
91,2512,7295,42395,427.5507,163.4332
92,2551,7295,42395,427.4594,163.4332
93,2614,7295,42395,423.6452,163.4090
94,2681,7295,42395,423.3729,163.4069
95,2702,7295,42395,423.3316,163.4069
96,2770,7295,42395,423.0476,163.2388
97,2819,7295,42395,422.4472,163.2388
98,2832,7295,42395,421.5736,163.2339
99,2903,7295,42395,421.3898,163.1978
100,2924,7295,42395,421.3050,163.1949
101,2973,7295,42395,421.2989,163.1771
102,3024,7295,42395,421.2617,163.1731
103,3120,7295,42395,421.2528,162.6958
104,3204,7295,42395,420.6513,162.6139
105,3272,7295,42395,420.5517,162.5874
106,3319,7295,42395,420.4970,162.5787
107,3381,7295,42395,420.3692,162.5399
108,3420,7295,42395,420.1863,162.5328
109,3490,7295,42395,420.0428,162.5310
110,3503,7295,42395,419.8960,162.5299
111,3544,7295,42395,419.8789,162.5291
112,3597,7295,42395,419.8744,162.5291
113,3633,7295,42395,419.8681,162.4737
114,3717,7295,42395,419.4485,162.4712
115,3780,7295,42395,419.4309,162.3723
116,3812,7295,42395,419.1567,162.3628
117,3838,7295,42395,418.7759,162.3615
118,3865,7295,42395,418.4383,162.3577
119,3891,7295,42395,418.2744,162.3530
120,3937,7295,42395,418.2660,162.3430
121,3994,7295,42395,418.1541,162.3027
122,4031,7295,42395,417.6806,162.2858
123,4080,7295,42395,417.5450,162.2783
124,4130,7295,42395,417.3980,162.2783
125,4155,7295,42395,416.9464,162.2775
126,4202,7295,42395,416.2902,162.2775
127,4279,7295,42395,416.1368,162.2775
128,4303,7295,42395,416.0020,162.2749
129,4384,7295,42395,415.9615,162.2702
130,4408,7295,42395,415.8555,162.2675
131,4467,7295,42395,415.8341,162.2660
132,4571,7295,42395,415.7027,162.2659
133,4585,7295,42395,415.6330,162.2650
134,4679,7295,42395,415.5709,162.2634
135,4809,7295,42395,415.5449,162.2453
136,4856,7295,42395,415.5227,160.7257
137,4884,7295,42395,415.3984,160.7213
138,4897,7295,42395,415.2303,160.7202
139,4919,7295,42395,415.1762,160.7124
140,4943,7295,42395,415.1268,160.4317
141,4962,7295,42395,412.2565,160.4317
142,4995,7295,42395,412.2511,160.1428
143,5031,7295,42395,411.7400,160.1246
144,5038,7295,42395,411.3965,160.1237
145,5174,7295,42395,411.3490,160.0531
146,5315,7295,42395,411.1938,160.0285
147,5334,7295,42395,411.1150,160.0247
148,5351,7295,42395,410.7730,160.0239
149,5399,7295,42395,410.6088,159.8566
150,5417,7295,42395,409.8643,159.8551
151,5447,7295,42395,409.7959,159.8501
152,5490,7295,42395,409.7519,159.8501
153,5525,7295,42395,409.6668,159.8309
154,5532,7295,42395,409.5557,159.8255
155,5540,7295,42395,407.5414,159.8255
156,5566,7295,42395,407.5392,159.8241
157,5636,7295,42395,407.4995,159.8086
158,5678,7295,42395,407.3349,159.8069
159,5798,7295,42395,407.2654,159.8030
160,5823,7295,42395,407.1451,159.7995
161,5889,7295,42395,406.8052,159.7962
162,5897,7295,42395,406.7432,159.7949
163,5937,7295,42395,406.5961,159.7663
164,6000,7295,42395,406.3471,159.7277
165,6057,7295,42395,406.2902,159.7227
166,6112,7295,42395,406.1824,159.7227
167,6136,7295,42395,406.0786,159.7215
168,6182,7295,42395,406.0124,159.7181
169,6214,7295,42395,405.9235,159.0243
170,6258,7295,42395,405.1955,159.0243
171,6302,7295,42395,405.0200,158.9917
172,6391,7295,42395,404.4669,158.9917
173,6458,7295,42395,404.3057,158.9902
174,6477,7295,42395,404.2256,158.9892
175,6484,7295,42395,404.2179,158.9884
176,6652,7295,42395,404.1483,158.9884
177,6666,7295,42395,404.0667,158.9756
178,6689,7295,42395,403.9750,158.9551
179,6715,7295,42395,403.9336,158.9438
180,6726,7295,42395,403.8779,158.9412
181,6840,7295,42395,403.6805,158.9387
182,6866,7295,42395,403.6535,158.9364
183,6906,7295,42395,403.6318,158.9292
184,6961,7295,42395,403.5279,158.9257
185,7007,7295,42395,403.4040,158.8317
186,7034,7295,42395,403.3116,158.8304
187,7048,7295,42395,403.2281,158.8304
188,7080,7295,42395,403.0933,158.8296
189,7091,7295,42395,403.0311,158.8236
190,7117,7295,42395,402.1984,158.8145
191,7139,7295,42395,401.6574,158.8131
192,7152,7295,42395,401.4766,158.8117
193,7180,7295,42395,401.3971,158.8117
194,7246,7295,42395,401.1442,158.8070
195,7406,7295,42395,401.0237,158.8069
196,7411,7295,42395,400.9282,158.8068
197,7456,7295,42395,400.8544,158.8035
198,7481,7295,42395,400.6777,158.7918
199,7498,7295,42395,400.2506,158.7914
200,7521,7295,42395,400.2039,158.7887
201,7606,7295,42395,399.9606,158.6697
202,7632,7295,42395,399.0742,158.6685
203,7661,7295,42395,398.9754,158.6672
204,7700,7295,42395,398.8291,158.4861
205,7734,7295,42395,398.8174,158.4834
206,7749,7295,42395,398.6222,158.4810
207,7798,7295,42395,398.6063,158.4476
208,7813,7295,42395,398.5892,158.4436
209,7836,7295,42395,398.4260,158.4382
210,7918,7295,42395,397.7933,158.4328
211,7939,7295,42395,397.7304,158.4322
212,7996,7295,42395,396.1096,158.4299
213,8027,7295,42395,396.0459,158.4259
214,8043,7295,42395,396.0187,158.4219
215,8063,7295,42395,395.3467,158.4181
216,8069,7295,42395,395.1254,158.4181
217,8078,7295,42395,395.0872,158.4176
218,8116,7295,42395,395.0360,158.4131
219,8132,7295,42395,394.4246,158.4131
220,8148,7295,42395,394.3113,158.3956
221,8203,7295,42395,393.4400,158.3468
222,8268,7295,42395,393.3229,158.3463
223,8303,7295,42395,393.1423,158.3402
224,8355,7295,42395,392.9095,158.3326
