SummaryNodes,SummaryEdges,NodeThreshold,EdgeThreshold,Objective,TestObjective
2,10,7295,42395,541.5145,208.5701
3,17,7295,42395,541.5128,208.5641
4,26,7295,42395,541.4887,208.5333
5,37,7295,42395,541.3653,208.4225
6,50,7295,42395,540.9225,208.1474
7,65,7295,42395,539.8220,207.0417
8,82,7295,42395,535.3992,207.0417
9,99,7295,42395,535.3992,203.2430
10,120,7295,42395,527.6774,203.2430
11,138,7295,42395,527.6774,191.9346
12,159,7295,42395,506.7206,191.9338
13,179,7295,42395,506.7123,191.7980
14,208,7295,42395,506.1971,191.7980
15,235,7295,42395,506.1971,191.7979
16,256,7295,42395,506.1967,191.7979
17,281,7295,42395,506.1964,191.4794
18,285,7295,42395,505.3117,191.4790
19,296,7295,42395,505.3102,191.4773
20,315,7295,42395,505.3028,191.4645
21,338,7295,42395,505.2560,191.4250
22,366,7295,42395,505.1155,191.3302
23,394,7295,42395,504.7782,191.1634
24,416,7295,42395,504.1825,191.1629
25,445,7295,42395,504.1815,191.1613
26,476,7295,42395,504.1797,191.1060
27,518,7295,42395,503.5717,191.1060
28,539,7295,42395,503.5643,191.1029
29,565,7295,42395,503.5510,191.0011
30,588,7295,42395,501.2955,191.0006
31,610,7295,42395,501.2937,190.9989
32,631,7295,42395,501.2880,190.9893
33,652,7295,42395,501.2566,190.9650
34,673,7295,42395,501.1768,190.8804
35,691,7295,42395,496.5168,190.8781
36,722,7295,42395,496.1543,190.8772
37,770,7295,42395,495.8091,190.8772
38,806,7295,42395,495.8027,190.8752
39,848,7295,42395,495.8005,190.8625
40,897,7295,42395,495.6537,190.8625
41,929,7295,42395,495.6482,190.8624
42,977,7295,42395,495.6474,190.8543
43,983,7295,42395,495.1552,190.8541
44,1030,7295,42395,495.1536,190.8540
45,1047,7295,42395,495.0828,190.8536
46,1069,7295,42395,495.0776,190.8508
47,1108,7295,42395,495.0698,190.7609
48,1156,7295,42395,494.8611,190.6250
49,1167,7295,42395,494.4277,190.6177
50,1230,7295,42395,494.4060,190.6100
51,1297,7295,42395,494.4047,190.6098
52,1339,7295,42395,494.3777,190.6094
53,1401,7295,42395,494.3761,190.6094
54,1409,7295,42395,494.3626,190.6083
55,1456,7295,42395,494.3589,190.6077
56,1502,7295,42395,494.1953,190.6026
57,1537,7295,42395,494.1845,190.5869
58,1617,7295,42395,494.1193,190.5869
59,1669,7295,42395,494.1190,188.6778
60,1715,7295,42395,490.0046,187.4021
61,1746,7295,42395,485.8941,187.3820
62,1833,7295,42395,485.8151,187.3820
63,1858,7295,42395,485.7710,187.3711
64,1944,7295,42395,485.7383,187.3707
65,1977,7295,42395,485.7293,187.3626
66,2030,7295,42395,485.7060,187.2091
67,2045,7295,42395,485.3239,187.2087
68,2094,7295,42395,485.3230,187.2086
69,2147,7295,42395,485.2644,187.1244
70,2212,7295,42395,484.9851,185.2233
71,2262,7295,42395,483.0188,185.2211
72,2306,7295,42395,482.9152,185.2205
73,2400,7295,42395,482.9125,185.2204
74,2439,7295,42395,482.9010,185.2114
75,2543,7295,42395,482.8558,185.2114
76,2586,7295,42395,482.8498,185.0759
77,2668,7295,42395,482.4353,185.0759
78,2715,7295,42395,482.4304,184.5388
79,2725,7295,42395,482.1410,184.5376
80,2758,7295,42395,480.4579,184.5362
81,2796,7295,42395,480.4528,184.5308
82,2897,7295,42395,480.4325,184.5307
83,2936,7295,42395,480.4279,184.5144
84,2959,7295,42395,480.3554,184.5130
85,3036,7295,42395,480.3500,184.4797
86,3071,7295,42395,480.3444,184.4674
87,3095,7295,42395,480.2875,184.4660
88,3191,7295,42395,480.2824,184.4657
89,3215,7295,42395,480.2805,184.4612
90,3217,7295,42395,480.2579,184.4592
91,3255,7295,42395,478.8680,184.3999
92,3310,7295,42395,478.2196,184.3970
93,3341,7295,42395,478.2149,184.3860
94,3359,7295,42395,478.0532,184.3829
95,3431,7295,42395,478.0405,184.3785
96,3450,7295,42395,478.0364,184.3694
97,3513,7295,42395,477.9905,184.3280
98,3599,7295,42395,477.9046,184.1566
99,3677,7295,42395,474.5340,184.1289
100,3735,7295,42395,474.5068,184.0113
101,3759,7295,42395,472.5778,184.0080
102,3795,7295,42395,472.5659,183.9978
103,3837,7295,42395,472.5297,183.9395
104,3851,7295,42395,472.3004,183.9372
105,3877,7295,42395,472.2921,183.9278
106,3980,7295,42395,472.2590,183.9275
107,4000,7295,42395,472.1537,183.9177
108,4092,7295,42395,472.1048,183.9142
109,4169,7295,42395,472.1000,183.9111
110,4177,7295,42395,472.0912,183.9097
111,4181,7295,42395,472.0863,183.9083
112,4192,7295,42395,472.0813,183.9059
113,4202,7295,42395,472.0730,183.9003
114,4291,7295,42395,471.9809,183.8964
115,4390,7295,42395,471.9726,183.8921
116,4430,7295,42395,471.9601,183.8763
117,4500,7295,42395,471.7341,183.8702
118,4569,7295,42395,471.7207,183.8575
119,4605,7295,42395,471.7002,183.8543
120,4626,7295,42395,471.6947,183.8291
121,4663,7295,42395,471.6126,183.8269
122,4758,7295,42395,471.6042,183.7650
123,4824,7295,42395,471.4207,183.7623
124,4925,7295,42395,471.4171,183.6364
125,5014,7295,42395,468.8818,183.6348
126,5014,7295,42395,468.8618,183.6343
127,5067,7295,42395,465.6073,183.6329
128,5068,7295,42395,465.6054,183.6324
129,5105,7295,42395,465.6008,183.6294
130,5167,7295,42395,465.5897,183.6226
131,5187,7295,42395,465.5606,183.6219
132,5207,7295,42395,465.5584,183.4046
133,5266,7295,42395,464.5040,183.4032
134,5355,7295,42395,464.4989,183.3922
135,5436,7295,42395,464.3350,183.1324
136,5448,7295,42395,464.1530,183.1304
137,5461,7295,42395,464.1471,183.1214
138,5571,7295,42395,464.1194,183.1211
139,5682,7295,42395,464.0687,180.9099
140,5838,7295,42395,460.4925,180.9098
141,5898,7295,42395,460.4802,180.5035
142,5955,7295,42395,459.9209,180.5019
143,5965,7295,42395,459.7639,180.4747
144,5989,7295,42395,458.6079,180.4730
145,6068,7295,42395,458.6010,180.4284
146,6093,7295,42395,458.4073,180.4231
147,6193,7295,42395,458.3915,180.1934
148,6278,7295,42395,457.0569,180.1645
149,6343,7295,42395,457.0421,180.1170
150,6428,7295,42395,456.4667,180.1170
151,6516,7295,42395,456.2097,180.1158
152,6666,7295,42395,456.1731,180.1089
153,6719,7295,42395,456.1352,180.1052
154,6754,7295,42395,456.1234,179.6926
155,6872,7295,42395,455.8300,179.6917
156,7041,7295,42395,455.8177,179.6885
157,7200,7295,42395,455.7912,179.6885
158,7286,7295,42395,455.7538,179.6882
159,7324,7295,42395,455.7482,179.6586
160,7360,7295,42395,455.6748,179.6570
161,7363,7295,42395,455.6700,179.6565
162,7371,7295,42395,455.6686,179.6547
163,7378,7295,42395,455.6630,179.6533
164,7434,7295,42395,455.6588,179.6410
165,7490,7295,42395,455.5854,179.6390
166,7601,7295,42395,455.5713,179.4689
167,7723,7295,42395,455.4605,179.3440
168,7856,7295,42395,455.2577,178.7755
169,7868,7295,42395,453.6984,178.7745
170,7911,7295,42395,453.6957,178.7674
171,8045,7295,42395,453.6715,178.7666
172,8135,7295,42395,453.6467,178.7134
