SummaryNodes,SummaryEdges,NodeThreshold,EdgeThreshold,Objective,TestObjective
2,5,7295,42395,591.7942,212.7570
3,5,7295,42395,540.6715,211.8643
4,10,7295,42395,536.2294,211.8643
5,13,7295,42395,536.2294,211.8612
6,20,7295,42395,536.2171,211.8612
7,26,7295,42395,536.2171,211.8332
8,35,7295,42395,536.1328,211.8332
9,44,7295,42395,536.1328,211.7684
10,55,7295,42395,535.9276,211.7684
11,67,7295,42395,535.9276,207.7827
12,78,7295,42395,531.6088,207.7816
13,89,7295,42395,531.6053,207.6868
14,105,7295,42395,531.4156,207.6868
15,121,7295,42395,531.4155,207.3956
16,140,7295,42395,530.8626,207.3956
17,158,7295,42395,530.8626,207.0138
18,178,7295,42395,521.4842,207.0138
19,199,7295,42395,521.4830,205.5451
20,223,7295,42395,519.4453,205.5451
21,247,7295,42395,519.4446,200.6022
22,274,7295,42395,511.3875,200.6022
23,298,7295,42395,511.3875,200.3130
24,326,7295,42395,508.8681,200.1602
25,355,7295,42395,508.7061,197.1845
26,385,7295,42395,503.0025,196.9341
27,416,7295,42395,501.8542,194.5799
28,448,7295,42395,500.2077,194.0866
29,477,7295,42395,498.8754,193.8867
30,502,7295,42395,498.5846,193.8525
31,539,7295,42395,498.5504,193.3054
32,546,7295,42395,497.3673,193.3018
33,577,7295,42395,497.3559,192.3560
34,604,7295,42395,495.4070,192.3273
35,645,7295,42395,494.7971,192.1834
36,685,7295,42395,493.8318,191.0370
37,732,7295,42395,491.1437,191.0370
38,770,7295,42395,490.9702,190.9659
39,810,7295,42395,488.9866,190.9061
40,852,7295,42395,488.6453,190.7126
41,885,7295,42395,486.3921,190.5807
42,929,7295,42395,485.7435,190.5146
43,955,7295,42395,485.3414,190.4798
44,993,7295,42395,485.3030,190.3192
45,1037,7295,42395,484.8056,190.2974
46,1080,7295,42395,484.7273,190.2452
47,1122,7295,42395,484.1716,189.4263
48,1169,7295,42395,483.2769,188.8291
49,1210,7295,42395,481.7382,188.7577
50,1246,7295,42395,481.5105,188.4562
51,1267,7295,42395,479.9327,188.4323
52,1298,7295,42395,479.7126,188.3785
53,1330,7295,42395,479.6406,188.3785
54,1358,7295,42395,479.3285,188.2606
55,1390,7295,42395,479.0458,188.2606
56,1426,7295,42395,479.0089,188.2318
57,1456,7295,42395,478.9667,188.2099
58,1497,7295,42395,478.8023,188.1695
59,1539,7295,42395,478.5123,188.1182
60,1561,7295,42395,478.2991,188.0137
61,1591,7295,42395,478.0804,188.0079
62,1654,7295,42395,477.8382,188.0036
63,1711,7295,42395,477.7681,186.8181
64,1724,7295,42395,476.5232,186.8178
65,1782,7295,42395,476.3653,186.8173
66,1845,7295,42395,476.2765,186.8121
67,1895,7295,42395,476.1759,186.8105
68,1930,7295,42395,476.1207,186.8103
