SummaryNodes,SummaryEdges,NodeThreshold,EdgeThreshold,Objective,TestObjective
2,5,7295,42395,591.7942,212.7570
3,5,7295,42395,540.6715,211.8643
4,8,7295,42395,536.2294,210.8430
5,13,7295,42395,527.0376,205.9266
6,18,7295,42395,512.5143,199.1841
7,21,7295,42395,505.3536,198.8590
8,28,7295,42395,500.4902,198.5698
9,32,7295,42395,499.4326,196.6867
10,37,7295,42395,495.1155,194.2843
11,45,7295,42395,488.1079,194.0632
12,56,7295,42395,487.3959,193.9185
13,69,7295,42395,487.1075,192.4628
14,80,7295,42395,483.5830,191.8984
15,87,7295,42395,483.0010,191.7647
16,102,7295,42395,482.4915,191.6986
17,119,7295,42395,480.2617,191.0766
18,128,7295,42395,479.4804,190.7017
19,147,7295,42395,478.2313,190.6333
20,160,7295,42395,478.0365,188.1069
21,179,7295,42395,471.7673,187.9864
22,202,7295,42395,471.5760,187.7267
23,215,7295,42395,471.1048,187.5416
24,240,7295,42395,470.5382,187.4710
25,254,7295,42395,470.0459,187.3669
26,275,7295,42395,469.6432,187.3630
27,295,7295,42395,469.6369,187.3516
28,323,7295,42395,469.6193,187.3515
29,344,7295,42395,469.5375,187.3505
30,349,7295,42395,469.5365,187.3481
31,360,7295,42395,469.5302,187.0669
32,375,7295,42395,468.7531,186.8826
33,403,7295,42395,468.5559,186.8798
34,430,7295,42395,468.2512,186.8625
35,467,7295,42395,468.2220,186.8625
36,502,7295,42395,467.8940,186.8625
37,539,7295,42395,467.7514,186.8604
38,577,7295,42395,467.6900,186.8604
39,621,7295,42395,467.5867,186.7448
40,656,7295,42395,467.1610,186.6609
41,697,7295,42395,467.1276,186.6608
42,741,7295,42395,466.9908,186.6608
43,756,7295,42395,466.9615,186.6594
44,800,7295,42395,466.9333,186.6594
45,848,7295,42395,466.4687,186.6576
46,876,7295,42395,466.3147,186.6320
47,904,7295,42395,465.9191,185.6472
48,928,7295,42395,465.0347,185.1329
49,964,7295,42395,464.3735,185.1287
50,972,7295,42395,464.3314,185.1042
51,1020,7295,42395,464.3034,185.1042
52,1042,7295,42395,464.0606,185.1042
53,1089,7295,42395,463.9253,185.1042
54,1105,7295,42395,463.7240,185.1012
55,1143,7295,42395,463.5043,185.0962
56,1167,7295,42395,463.4152,185.0962
57,1185,7295,42395,463.3662,185.0953
58,1248,7295,42395,463.3438,185.0953
59,1304,7295,42395,463.2326,185.0792
60,1325,7295,42395,462.9895,185.0780
61,1355,7295,42395,462.8789,185.0772
62,1399,7295,42395,462.8110,185.0728
63,1426,7295,42395,462.6453,185.0692
64,1495,7295,42395,462.5757,185.0692
65,1512,7295,42395,462.4910,184.5062
66,1569,7295,42395,462.2874,184.5056
67,1622,7295,42395,462.2391,184.5056
68,1669,7295,42395,462.2010,184.2394
