SummaryNodes,SummaryEdges,NodeThreshold,EdgeThreshold,Objective,TestObjective
2,10,7295,42395,591.7942,230.2771
3,17,7295,42395,591.7910,230.2671
4,26,7295,42395,591.7557,230.2263
5,32,7295,42395,591.6110,230.2193
6,42,7295,42395,591.5970,230.1828
7,54,7295,42395,591.5265,229.6320
8,68,7295,42395,590.4641,229.5490
9,83,7295,42395,590.1694,227.7801
10,100,7295,42395,586.7562,227.7041
11,117,7295,42395,586.4856,226.1620
12,137,7295,42395,583.5151,226.0483
13,158,7295,42395,583.1086,213.9974
14,178,7295,42395,555.9650,213.9947
15,203,7295,42395,555.9545,213.9491
16,229,7295,42395,555.7739,212.0048
17,258,7295,42395,545.9737,212.0048
18,272,7295,42395,545.9737,211.9858
19,302,7295,42395,545.9374,211.3203
20,335,7295,42395,543.4261,211.3203
21,371,7295,42395,543.4260,211.3203
22,395,7295,42395,543.4260,211.3195
23,432,7295,42395,543.4260,211.2561
24,463,7295,42395,542.3632,211.2561
25,501,7295,42395,542.3632,211.1176
26,540,7295,42395,541.8136,206.1925
27,581,7295,42395,531.3262,205.2887
28,628,7295,42395,529.3345,205.2887
29,656,7295,42395,529.3345,205.2789
30,705,7295,42395,529.3007,204.5138
31,732,7295,42395,528.2753,204.5129
32,758,7295,42395,528.2743,204.5101
33,809,7295,42395,528.2741,204.5088
34,853,7295,42395,528.0234,204.5088
35,877,7295,42395,528.0234,204.4872
36,908,7295,42395,527.8791,203.3946
37,959,7295,42395,527.0375,201.8882
38,1007,7295,42395,523.7294,201.8872
39,1052,7295,42395,523.7224,201.3342
40,1103,7295,42395,521.3008,201.3341
41,1144,7295,42395,521.3007,199.3928
42,1209,7295,42395,519.2760,199.3928
43,1237,7295,42395,519.2692,199.3928
44,1309,7295,42395,519.2677,199.3928
45,1343,7295,42395,519.2644,199.3474
46,1358,7295,42395,518.9422,199.3461
47,1387,7295,42395,518.9393,199.3426
48,1427,7295,42395,518.9335,199.3305
49,1473,7295,42395,518.9125,199.2919
50,1524,7295,42395,518.8483,199.2361
51,1564,7295,42395,518.7558,199.2352
52,1616,7295,42395,518.7480,199.1607
53,1674,7295,42395,518.6244,199.1607
54,1714,7295,42395,518.6177,199.1545
55,1770,7295,42395,518.6087,199.1087
56,1826,7295,42395,518.5265,199.0522
57,1834,7295,42395,518.4139,199.0517
58,1869,7295,42395,518.4119,199.0510
59,1899,7295,42395,518.3687,199.0475
60,1926,7295,42395,518.1195,199.0462
61,1982,7295,42395,518.1147,199.0436
62,2048,7295,42395,518.1093,199.0419
63,2095,7295,42395,517.9201,198.9957
64,2161,7295,42395,517.8893,197.6579
65,2176,7295,42395,516.0526,197.6577
66,2201,7295,42395,516.0129,197.6575
67,2284,7295,42395,516.0116,197.6570
68,2304,7295,42395,516.0103,197.6372
69,2371,7295,42395,515.9426,197.0246
70,2452,7295,42395,514.8451,197.0245
71,2472,7295,42395,514.8443,197.0238
72,2563,7295,42395,514.8417,197.0233
73,2618,7295,42395,514.7730,197.0229
74,2641,7295,42395,514.7602,197.0210
75,2712,7295,42395,514.7562,196.9396
76,2796,7295,42395,514.5116,196.9396
77,2803,7295,42395,514.4945,196.9393
78,2898,7295,42395,514.4933,196.9272
79,2953,7295,42395,514.4671,196.9170
80,3027,7295,42395,514.4474,196.6353
81,3084,7295,42395,513.2029,196.6339
82,3169,7295,42395,513.1872,196.6311
83,3229,7295,42395,513.1112,196.6297
84,3282,7295,42395,513.0680,196.6270
85,3336,7295,42395,512.4899,196.6018
86,3385,7295,42395,512.4333,196.6018
87,3413,7295,42395,512.3964,196.6006
88,3483,7295,42395,512.3905,196.5990
89,3508,7295,42395,512.2047,196.5984
90,3561,7295,42395,512.2015,196.5955
91,3599,7295,42395,512.1882,196.5946
92,3690,7295,42395,512.1839,196.5946
93,3733,7295,42395,511.7765,196.5924
94,3785,7295,42395,511.7723,196.5914
95,3821,7295,42395,511.6600,196.5906
96,3867,7295,42395,511.3578,196.5902
97,3912,7295,42395,511.3567,196.5897
98,3958,7295,42395,510.7941,196.5888
99,3979,7295,42395,510.6239,196.5884
100,4025,7295,42395,510.6220,196.5884
101,4092,7295,42395,510.4846,196.5833
102,4120,7295,42395,510.4740,196.5776
103,4201,7295,42395,510.4631,196.4943
104,4222,7295,42395,509.4347,196.4938
105,4262,7295,42395,509.4331,196.4927
106,4289,7295,42395,509.2747,196.4920
107,4305,7295,42395,509.0663,196.4918
108,4342,7295,42395,509.0078,196.4911
109,4383,7295,42395,508.7764,196.4900
110,4402,7295,42395,508.7629,196.4897
111,4466,7295,42395,508.7619,196.4896
112,4479,7295,42395,508.4845,196.4890
113,4501,7295,42395,508.4827,196.4876
114,4520,7295,42395,508.3561,196.4867
115,4541,7295,42395,508.3544,196.4849
116,4610,7295,42395,508.1625,196.4177
117,4624,7295,42395,506.6695,196.4173
118,4652,7295,42395,506.6676,196.4156
119,4689,7295,42395,506.5917,196.4141
120,4734,7295,42395,506.5493,196.4117
121,4745,7295,42395,506.2370,196.4113
122,4777,7295,42395,506.2303,196.4099
123,4812,7295,42395,506.1142,196.4012
124,4841,7295,42395,505.5268,196.4002
125,4855,7295,42395,505.2335,196.3990
126,4869,7295,42395,505.2308,196.3976
127,4918,7295,42395,505.0841,196.3963
128,5005,7295,42395,504.9274,196.3914
129,5026,7295,42395,503.9285,196.3886
130,5065,7295,42395,503.8724,196.3858
131,5098,7295,42395,503.7502,196.3846
132,5133,7295,42395,503.4997,196.3801
133,5214,7295,42395,503.4339,196.3799
134,5264,7295,42395,503.4064,196.3795
135,5271,7295,42395,503.3834,196.3791
136,5351,7295,42395,503.3803,196.3738
137,5361,7295,42395,502.6294,196.3736
138,5395,7295,42395,502.4429,196.3731
139,5420,7295,42395,502.3534,196.3725
140,5485,7295,42395,502.3505,196.3714
141,5523,7295,42395,502.2555,196.3704
142,5583,7295,42395,502.0279,196.3648
143,5626,7295,42395,501.8632,196.3520
144,5635,7295,42395,501.5768,196.3492
145,5648,7295,42395,501.4392,196.3488
146,5700,7295,42395,501.4356,196.3477
147,5707,7295,42395,501.3324,196.3475
148,5756,7295,42395,501.3311,196.3470
149,5768,7295,42395,501.1592,196.3456
150,5806,7295,42395,501.0532,196.3436
151,5867,7295,42395,500.9417,196.3432
152,5885,7295,42395,500.8363,196.3426
153,5894,7295,42395,500.7895,196.3421
154,5952,7295,42395,500.6896,196.3384
155,5970,7295,42395,500.4579,196.3380
156,5994,7295,42395,500.3968,196.3368
157,6008,7295,42395,500.3436,196.3368
158,6050,7295,42395,500.2488,196.3348
159,6065,7295,42395,500.1391,196.3336
160,6111,7295,42395,499.2142,196.3309
161,6116,7295,42395,499.1345,196.3304
162,6123,7295,42395,499.1275,196.3301
163,6131,7295,42395,499.1052,196.3299
164,6145,7295,42395,499.0663,196.3289
165,6159,7295,42395,498.9349,196.3281
166,6190,7295,42395,498.7515,196.3256
167,6209,7295,42395,498.4569,196.3254
168,6234,7295,42395,498.4181,196.3252
