SummaryNodes,SummaryEdges,NodeThreshold,EdgeThreshold,Objective,TestObjective
2,9,24905,58141,559.6647,186.0511
3,9,24905,58141,481.6539,172.8543
4,10,24905,58141,430.1292,172.8543
5,15,24905,58141,430.1292,172.5159
6,16,24905,58141,429.4526,172.5159
7,22,24905,58141,429.4526,172.3886
8,23,24905,58141,429.1980,172.3886
9,30,24905,58141,429.1980,172.2916
10,31,24905,58141,429.0041,172.2916
11,39,24905,58141,429.0041,172.1091
12,48,24905,58141,428.5990,172.1091
13,49,24905,58141,428.5990,172.0887
14,58,24905,58141,428.5173,172.0887
15,60,24905,58141,428.5173,171.8108
16,63,24905,58141,427.2760,171.8108
17,72,24905,58141,427.2760,171.6453
18,82,24905,58141,426.8469,171.6453
19,85,24905,58141,426.8469,170.8927
20,95,24905,58141,423.2635,170.8927
21,99,24905,58141,423.2635,168.1887
22,120,24905,58141,414.9852,166.8231
23,120,24905,58141,410.1671,141.6688
24,124,24905,58141,359.8585,141.2155
25,127,24905,58141,357.4833,140.2478
26,139,24905,58141,355.7251,140.2478
27,151,24905,58141,355.7244,140.2123
28,154,24905,58141,355.6092,140.2116
29,167,24905,58141,355.6059,140.2116
30,173,24905,58141,355.6059,140.0616
31,192,24905,58141,354.7048,140.0582
32,217,24905,58141,354.7009,140.0580
33,238,24905,58141,354.6348,139.8274
34,243,24905,58141,354.2090,139.8274
35,259,24905,58141,354.2090,139.8250
36,278,24905,58141,354.2024,139.8250
37,299,24905,58141,354.2024,139.2515
38,306,24905,58141,352.7231,139.2402
39,324,24905,58141,352.2516,138.9457
40,346,24905,58141,351.4802,138.6059
41,366,24905,58141,350.5882,137.1860
42,385,24905,58141,348.4497,136.6962
43,389,24905,58141,347.3372,136.6891
44,398,24905,58141,347.3214,136.6891
45,437,24905,58141,347.1290,136.6886
46,446,24905,58141,346.4168,136.6343
47,476,24905,58141,346.1317,136.5478
48,512,24905,58141,345.8762,136.1347
49,528,24905,58141,345.7853,133.1645
50,551,24905,58141,336.9610,133.1645
51,591,24905,58141,336.9610,133.1645
52,626,24905,58141,336.6766,133.1641
53,651,24905,58141,336.6286,133.1641
54,695,24905,58141,336.6285,133.1641
55,727,24905,58141,336.1029,133.1634
56,738,24905,58141,336.0252,133.1634
57,746,24905,58141,335.2307,132.9888
58,779,24905,58141,334.6470,132.8319
59,786,24905,58141,334.4567,132.7805
60,818,24905,58141,334.2335,132.5790
61,847,24905,58141,334.0032,132.5789
62,872,24905,58141,333.9871,132.5688
63,901,24905,58141,333.9741,132.5469
64,934,24905,58141,333.8487,132.4912
65,965,24905,58141,333.5764,132.1465
66,989,24905,58141,333.2310,132.1445
67,1011,24905,58141,333.1319,132.1391
68,1027,24905,58141,332.7275,132.1367
69,1030,24905,58141,332.4821,132.1359
70,1034,24905,58141,332.3785,132.1351
71,1046,24905,58141,332.2653,132.1335
72,1053,24905,58141,331.9869,132.1323
73,1058,24905,58141,331.6914,132.1317
74,1062,24905,58141,331.6407,132.1313
75,1066,24905,58141,331.5152,132.1303
76,1067,24905,58141,331.1215,132.1301
77,1068,24905,58141,331.0124,132.1299
78,1069,24905,58141,330.8884,132.1294
79,1096,24905,58141,330.5338,131.9129
80,1098,24905,58141,330.0646,131.9122
81,1145,24905,58141,329.8772,131.9041
82,1146,24905,58141,329.8148,131.9038
83,1162,24905,58141,329.4657,131.7974
84,1167,24905,58141,329.3590,131.7969
85,1187,24905,58141,329.1243,131.7951
86,1190,24905,58141,329.0759,131.7948
87,1208,24905,58141,328.0965,131.6976
88,1215,24905,58141,327.9975,131.3940
89,1219,24905,58141,327.2884,131.3939
90,1260,24905,58141,324.2270,131.2616
91,1282,24905,58141,323.8653,131.2561
92,1306,24905,58141,323.8573,131.2555
93,1338,24905,58141,323.8476,131.2554
94,1377,24905,58141,323.8475,131.2550
95,1408,24905,58141,323.7955,131.2550
96,1448,24905,58141,323.7950,131.2545
97,1491,24905,58141,323.7224,130.7741
98,1503,24905,58141,323.2364,130.7741
99,1531,24905,58141,323.1775,130.3417
100,1567,24905,58141,322.7381,130.3410
101,1600,24905,58141,322.6748,130.1244
102,1603,24905,58141,322.4960,129.9305
103,1636,24905,58141,322.3135,129.5524
104,1642,24905,58141,322.0393,129.5521
105,1682,24905,58141,321.9806,129.2791
106,1750,24905,58141,321.6144,129.2787
107,1797,24905,58141,321.3821,129.2787
108,1812,24905,58141,321.2599,129.2787
109,1847,24905,58141,321.2402,129.2771
110,1886,24905,58141,321.1850,129.2770
111,1893,24905,58141,321.1121,128.8602
112,1896,24905,58141,320.1178,128.5054
113,1930,24905,58141,319.2699,128.5024
114,1952,24905,58141,319.2434,128.5013
115,1996,24905,58141,319.1795,128.4994
116,2046,24905,58141,319.1465,128.4983
117,2072,24905,58141,319.1454,128.4983
118,2119,24905,58141,319.1189,128.4450
119,2141,24905,58141,318.8958,128.4433
120,2156,24905,58141,318.8847,128.4431
121,2186,24905,58141,318.8754,128.4372
122,2209,24905,58141,318.7820,128.4346
123,2233,24905,58141,318.7582,128.4312
124,2251,24905,58141,318.6960,128.4304
125,2267,24905,58141,318.6806,128.4288
126,2280,24905,58141,318.6619,128.4271
127,2357,24905,58141,318.6418,128.4194
128,2365,24905,58141,318.4680,128.4189
129,2397,24905,58141,318.4245,128.4178
130,2410,24905,58141,318.3705,128.4173
131,2481,24905,58141,318.3613,128.4172
132,2489,24905,58141,318.1568,128.4167
133,2527,24905,58141,318.1097,128.4163
134,2547,24905,58141,318.1068,128.4163
135,2553,24905,58141,318.1047,128.4162
136,2608,24905,58141,318.1024,128.4161
137,2636,24905,58141,317.8520,128.4161
138,2643,24905,58141,317.6989,128.4145
139,2687,24905,58141,317.6947,128.4145
140,2770,24905,58141,317.5321,128.4117
141,2815,24905,58141,317.5211,128.4117
142,2897,24905,58141,317.5211,128.4078
143,2936,24905,58141,317.5058,128.4077
144,3010,24905,58141,316.8697,127.8952
145,3037,24905,58141,315.8476,127.8949
146,3058,24905,58141,315.8195,127.8947
147,3076,24905,58141,315.7996,127.8946
148,3106,24905,58141,315.7836,127.8866
149,3137,24905,58141,315.7570,126.6666
150,3156,24905,58141,314.9275,126.6665
151,3186,24905,58141,314.7301,126.6652
152,3222,24905,58141,314.6806,126.6634
153,3251,24905,58141,314.6415,126.6633
154,3337,24905,58141,314.6296,126.6632
155,3400,24905,58141,314.5109,126.5870
156,3476,24905,58141,314.2978,126.5865
157,3509,24905,58141,314.2944,126.5865
158,3513,24905,58141,314.0727,126.5096
159,3517,24905,58141,314.0024,126.5095
160,3536,24905,58141,313.9788,126.5093
161,3542,24905,58141,313.9627,126.5092
162,3601,24905,58141,313.9614,126.5090
163,3607,24905,58141,313.8920,126.5090
164,3617,24905,58141,313.8410,126.5090
165,3622,24905,58141,313.7146,126.5063
166,3645,24905,58141,313.6720,126.5063
167,3716,24905,58141,313.5213,126.5045
168,3779,24905,58141,313.3704,126.5042
169,3786,24905,58141,313.1948,126.5042
170,3804,24905,58141,313.1931,126.4990
171,3832,24905,58141,313.1532,126.4973
172,3842,24905,58141,312.9712,126.4972
173,3867,24905,58141,312.9463,126.4958
174,3883,24905,58141,312.8887,126.4958
175,3893,24905,58141,312.8691,126.4957
176,3894,24905,58141,312.8648,126.4956
177,3910,24905,58141,312.8632,126.4946
178,3983,24905,58141,312.7274,126.4944
179,4026,24905,58141,312.6023,126.4922
180,4083,24905,58141,312.4457,126.4904
181,4114,24905,58141,310.0999,126.4887
182,4153,24905,58141,309.8840,126.4886
183,4167,24905,58141,309.8655,126.4884
184,4194,24905,58141,309.8444,126.0655
185,4233,24905,58141,309.3337,126.0653
186,4247,24905,58141,309.2976,126.0648
187,4252,24905,58141,309.1620,126.0648
188,4296,24905,58141,309.0251,126.0646
189,4311,24905,58141,308.6208,126.0418
190,4318,24905,58141,307.8463,126.0418
191,4327,24905,58141,307.5879,126.0418
192,4382,24905,58141,306.9656,126.0395
193,4454,24905,58141,306.5600,125.7516
194,4516,24905,58141,306.5576,125.7514
195,4566,24905,58141,306.5566,125.7513
196,4619,24905,58141,306.2005,125.7512
197,4658,24905,58141,305.8644,125.7508
198,4691,24905,58141,304.5453,125.7504
199,4747,24905,58141,304.5286,125.7501
200,4789,24905,58141,304.3765,125.7499
201,4893,24905,58141,304.3069,125.2959
202,4942,24905,58141,303.3103,125.2959
203,4969,24905,58141,302.9913,125.2942
204,5009,24905,58141,302.8544,125.2938
205,5019,24905,58141,302.8177,123.7475
206,5064,24905,58141,298.4308,123.7474
207,5112,24905,58141,298.0533,123.7473
208,5140,24905,58141,297.7125,123.7459
209,5200,24905,58141,297.6950,123.7459
210,5268,24905,58141,297.4747,122.8683
211,5294,24905,58141,295.6882,122.8679
212,5350,24905,58141,295.5171,122.7061
213,5351,24905,58141,294.3380,122.7061
