graph,method,queryset,storage,size,trainingF1,testF1,creationTime,graphTime,summaryTime
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query1/,1350000,8596,1.000000,0.000000,0.045000,7.242000,0.052000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query1/,1350000,7888,1.000000,0.000000,0.030000,7.502000,0.045000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query1/,1350000,8476,1.000000,0.000000,0.030000,7.396000,0.049000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query1/,1350000,9728,1.000000,0.000000,0.035000,7.181000,0.053000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query1/,1350000,9308,1.000000,0.000000,0.032000,7.209000,0.045000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query033/,1350000,9348,1.000000,0.045455,0.028000,7.682000,0.045000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query033/,1350000,9768,1.000000,0.000000,0.030000,7.705000,0.042000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query033/,1350000,10144,1.000000,0.000000,0.030000,7.506000,0.056000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query033/,1350000,10852,1.000000,0.045455,0.032000,7.811000,0.046000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query033/,1350000,8104,1.000000,0.045455,0.024000,6.940000,0.039000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query01/,1350000,12284,1.000000,0.243645,0.061000,7.956000,0.058000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query01/,1350000,14072,1.000000,0.441272,0.067000,8.088000,0.065000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query01/,1350000,12016,1.000000,0.187630,0.061000,6.859000,0.041000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query01/,1350000,11952,1.000000,0.333767,0.062000,8.027000,0.051000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query01/,1350000,10416,1.000000,0.248135,0.059000,7.928000,0.046000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query0033/,1350000,10488,1.000000,0.000000,0.031000,6.978000,0.042000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query0033/,1350000,7616,1.000000,0.000000,0.022000,6.913000,0.041000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query0033/,1350000,9844,1.000000,0.000000,0.030000,6.980000,0.042000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query0033/,1350000,7552,1.000000,0.000000,0.022000,6.076000,0.042000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query0033/,1350000,10584,1.000000,0.000000,0.032000,6.860000,0.046000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query001/,1350000,11632,1.000000,0.184269,0.059000,7.044000,0.042000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query001/,1350000,12668,1.000000,0.280718,0.061000,8.350000,0.055000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query001/,1350000,13064,1.000000,0.269367,0.070000,8.275000,0.051000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query001/,1350000,13088,1.000000,0.278875,0.069000,8.186000,0.045000
/home/lukas/thesisdata/citation/graph,cache,/home/lukas/thesisdata/citation/query001/,1350000,12396,1.000000,0.295346,0.068000,8.344000,0.065000
